P_ID,USER_ID,TIMESTAMP,YEAR,MONTH
P98,U98,06-05-2000,2000,5
P99,U99,09-05-2000,2000,5
P100,U100,09-05-2000,2000,5
P101,U101,09-05-2000,2000,5
P102,U102,11-05-2000,2000,5
P103,U103,12-05-2000,2000,5
P104,U104,14-05-2000,2000,5
P105,U105,15-05-2000,2000,5
P106,U106,15-05-2000,2000,5
P107,U107,17-05-2000,2000,5
P108,U108,17-05-2000,2000,5
P109,U109,18-05-2000,2000,5
P110,U110,18-05-2000,2000,5
P111,U111,19-05-2000,2000,5
P112,U112,22-05-2000,2000,5
P113,U113,23-05-2000,2000,5
P114,U114,23-05-2000,2000,5
P115,U115,25-05-2000,2000,5
P116,U116,26-05-2000,2000,5
P117,U117,26-05-2000,2000,5
P118,U118,29-05-2000,2000,5
P119,U119,05-06-2000,2000,6
P120,U120,06-06-2000,2000,6
P121,U121,06-06-2000,2000,6
P122,U122,06-06-2000,2000,6
P123,U123,08-06-2000,2000,6
P124,U124,10-06-2000,2000,6
P125,U125,10-06-2000,2000,6
P126,U126,10-06-2000,2000,6
P127,U127,11-06-2000,2000,6
P128,U128,12-06-2000,2000,6
P129,U129,13-06-2000,2000,6
P130,U130,14-06-2000,2000,6
P131,U131,14-06-2000,2000,6
P132,U132,15-06-2000,2000,6
P133,U133,15-06-2000,2000,6
P134,U134,18-06-2000,2000,6
P135,U135,19-06-2000,2000,6
P136,U136,20-06-2000,2000,6
P137,U137,24-06-2000,2000,6
P138,U138,26-06-2000,2000,6
P139,U139,26-06-2000,2000,6
P140,U140,29-06-2000,2000,6
P141,U141,30-06-2000,2000,6
P142,U142,30-06-2000,2000,6
P143,U143,07-07-2000,2000,7
P144,U144,07-07-2000,2000,7
P145,U145,10-07-2000,2000,7
P146,U146,11-07-2000,2000,7
P147,U147,12-07-2000,2000,7
P148,U148,13-07-2000,2000,7
P149,U149,15-07-2000,2000,7
P150,U150,15-07-2000,2000,7
P151,U151,16-07-2000,2000,7
P152,U152,16-07-2000,2000,7
P153,U153,18-07-2000,2000,7
P154,U154,27-07-2000,2000,7
P155,U155,28-07-2000,2000,7
P156,U156,28-07-2000,2000,7
P157,U157,01-08-2000,2000,8
P158,U158,04-08-2000,2000,8
P159,U159,05-08-2000,2000,8
P160,U160,06-08-2000,2000,8
P161,U161,11-08-2000,2000,8
P162,U162,21-08-2000,2000,8
P163,U163,21-08-2000,2000,8
P164,U164,29-08-2000,2000,8
P165,U165,30-08-2000,2000,8
P166,U166,30-08-2000,2000,8
P167,U167,14-09-2000,2000,9
P168,U168,20-09-2000,2000,9
P169,U169,23-09-2000,2000,9
P170,U170,25-09-2000,2000,9
P171,U171,26-09-2000,2000,9
P172,U172,06-10-2000,2000,10
P173,U173,06-10-2000,2000,10
P174,U174,12-10-2000,2000,10
P175,U175,13-10-2000,2000,10
P176,U176,17-10-2000,2000,10
P177,U177,19-10-2000,2000,10
P178,U178,19-10-2000,2000,10
P179,U179,19-10-2000,2000,10
P180,U180,19-10-2000,2000,10
P181,U181,20-10-2000,2000,10
P182,U182,23-10-2000,2000,10
P183,U183,25-10-2000,2000,10
P184,U184,28-10-2000,2000,10
P185,U185,29-10-2000,2000,10
P186,U186,29-10-2000,2000,10
P187,U187,30-10-2000,2000,10
P188,U188,01-11-2000,2000,11
P189,U189,02-11-2000,2000,11
P190,U190,09-11-2000,2000,11
P191,U191,10-11-2000,2000,11
P192,U192,11-11-2000,2000,11
P193,U193,11-11-2000,2000,11
P194,U194,14-11-2000,2000,11
P195,U195,16-11-2000,2000,11
P196,U196,17-11-2000,2000,11
P197,U197,18-11-2000,2000,11
P198,U198,22-11-2000,2000,11
P199,U199,22-11-2000,2000,11
P200,U200,25-11-2000,2000,11
P201,U201,26-11-2000,2000,11
P202,U202,26-11-2000,2000,11
P203,U203,27-11-2000,2000,11
P204,U204,27-11-2000,2000,11
P205,U205,28-11-2000,2000,11
P206,U206,29-11-2000,2000,11
P207,U207,30-11-2000,2000,11
P208,U208,01-12-2000,2000,12
P209,U209,03-12-2000,2000,12
P210,U210,06-12-2000,2000,12
P211,U211,07-12-2000,2000,12
P212,U212,09-12-2000,2000,12
P213,U213,09-12-2000,2000,12
P214,U214,09-12-2000,2000,12
P215,U215,11-12-2000,2000,12
P216,U216,14-12-2000,2000,12
P217,U217,14-12-2000,2000,12
P218,U218,15-12-2000,2000,12
P219,U219,15-12-2000,2000,12
P220,U220,16-12-2000,2000,12
P221,U221,16-12-2000,2000,12
P222,U222,18-12-2000,2000,12
P223,U223,18-12-2000,2000,12
P224,U224,19-12-2000,2000,12
P225,U225,20-12-2000,2000,12
P226,U226,21-12-2000,2000,12
P227,U227,23-12-2000,2000,12
P228,U228,26-12-2000,2000,12
P229,U229,26-12-2000,2000,12
P230,U230,28-12-2000,2000,12
P231,U231,29-12-2000,2000,12
P232,U232,30-12-2000,2000,12
P233,U233,31-12-2000,2000,12
P234,U234,31-12-2000,2000,12
P235,U235,01-01-2001,2001,1
P236,U236,02-01-2001,2001,1
P237,U237,02-01-2001,2001,1
P238,U238,02-01-2001,2001,1
P239,U239,03-01-2001,2001,1
P240,U240,04-01-2001,2001,1
P241,U241,04-01-2001,2001,1
P242,U242,05-01-2001,2001,1
P243,U243,06-01-2001,2001,1
P244,U244,07-01-2001,2001,1
P245,U245,07-01-2001,2001,1
P246,U246,08-01-2001,2001,1
P247,U247,08-01-2001,2001,1
P248,U248,08-01-2001,2001,1
P249,U249,09-01-2001,2001,1
P250,U250,13-01-2001,2001,1
P251,U251,18-01-2001,2001,1
P252,U252,18-01-2001,2001,1
P253,U253,20-01-2001,2001,1
P254,U254,21-01-2001,2001,1
P255,U255,23-01-2001,2001,1
P256,U256,23-01-2001,2001,1
P257,U257,27-01-2001,2001,1
P258,U258,30-01-2001,2001,1
P259,U259,04-02-2001,2001,2
P260,U260,04-02-2001,2001,2
P261,U261,06-02-2001,2001,2
P262,U262,07-02-2001,2001,2
P263,U263,07-02-2001,2001,2
P264,U264,09-02-2001,2001,2
P265,U265,11-02-2001,2001,2
P266,U266,18-02-2001,2001,2
P267,U267,19-02-2001,2001,2
P268,U268,20-02-2001,2001,2
P269,U269,23-02-2001,2001,2
P270,U270,24-02-2001,2001,2
P271,U271,25-02-2001,2001,2
P272,U272,02-03-2001,2001,3
P273,U273,03-03-2001,2001,3
P274,U274,07-03-2001,2001,3
P275,U275,08-03-2001,2001,3
P276,U276,10-03-2001,2001,3
P277,U277,10-03-2001,2001,3
P278,U278,10-03-2001,2001,3
P279,U279,10-03-2001,2001,3
P280,U280,10-03-2001,2001,3
P281,U281,10-03-2001,2001,3
P282,U282,11-03-2001,2001,3
P283,U283,11-03-2001,2001,3
P284,U284,11-03-2001,2001,3
P285,U285,11-03-2001,2001,3
P286,U286,11-03-2001,2001,3
P287,U287,11-03-2001,2001,3
P288,U288,11-03-2001,2001,3
P289,U289,11-03-2001,2001,3
P290,U290,12-03-2001,2001,3
P291,U291,12-03-2001,2001,3
P292,U292,12-03-2001,2001,3
P293,U293,12-03-2001,2001,3
P294,U294,12-03-2001,2001,3
P295,U295,12-03-2001,2001,3
P296,U296,12-03-2001,2001,3
P297,U297,14-03-2001,2001,3
P298,U298,15-03-2001,2001,3
P299,U299,15-03-2001,2001,3
P300,U300,18-03-2001,2001,3
P301,U301,18-03-2001,2001,3
P302,U302,19-03-2001,2001,3
P303,U303,21-03-2001,2001,3
P304,U304,21-03-2001,2001,3
P305,U305,22-03-2001,2001,3
P306,U306,23-03-2001,2001,3
P307,U307,25-03-2001,2001,3
P308,U308,26-03-2001,2001,3
P309,U309,28-03-2001,2001,3
P310,U310,03-04-2001,2001,4
P311,U311,05-04-2001,2001,4
P312,U312,08-04-2001,2001,4
P313,U313,14-04-2001,2001,4
P314,U314,15-04-2001,2001,4
P315,U315,18-04-2001,2001,4
P316,U316,18-04-2001,2001,4
P317,U317,18-04-2001,2001,4
P318,U318,18-04-2001,2001,4
P319,U319,22-04-2001,2001,4
P320,U320,22-04-2001,2001,4
P321,U321,23-04-2001,2001,4
P322,U322,23-04-2001,2001,4
P323,U323,24-04-2001,2001,4
P324,U324,25-04-2001,2001,4
P325,U325,26-04-2001,2001,4
P326,U326,27-04-2001,2001,4
P327,U327,29-04-2001,2001,4
P328,U328,29-04-2001,2001,4
P329,U329,30-04-2001,2001,4
P330,U330,02-05-2001,2001,5
P331,U331,02-05-2001,2001,5
P332,U332,04-05-2001,2001,5
P333,U333,04-05-2001,2001,5
P334,U334,04-05-2001,2001,5
P335,U335,06-05-2001,2001,5
P336,U336,07-05-2001,2001,5
P337,U337,08-05-2001,2001,5
P338,U338,09-05-2001,2001,5
P339,U339,09-05-2001,2001,5
P340,U340,09-05-2001,2001,5
P341,U341,10-05-2001,2001,5
P342,U342,11-05-2001,2001,5
P343,U343,11-05-2001,2001,5
P344,U344,11-05-2001,2001,5
P345,U345,13-05-2001,2001,5
P346,U346,13-05-2001,2001,5
P347,U347,14-05-2001,2001,5
P348,U348,16-05-2001,2001,5
P349,U349,17-05-2001,2001,5
P350,U350,18-05-2001,2001,5
P351,U351,19-05-2001,2001,5
P352,U352,19-05-2001,2001,5
P353,U353,22-05-2001,2001,5
P354,U354,22-05-2001,2001,5
P355,U355,23-05-2001,2001,5
P356,U356,23-05-2001,2001,5
P357,U357,24-05-2001,2001,5
P358,U358,26-05-2001,2001,5
P359,U359,26-05-2001,2001,5
P360,U360,28-05-2001,2001,5
P361,U361,28-05-2001,2001,5
P362,U362,29-05-2001,2001,5
P363,U363,29-05-2001,2001,5
P364,U364,31-05-2001,2001,5
P365,U365,06-06-2001,2001,6
P366,U366,06-06-2001,2001,6
P367,U367,07-06-2001,2001,6
P368,U368,07-06-2001,2001,6
P369,U369,07-06-2001,2001,6
P370,U370,08-06-2001,2001,6
P371,U371,08-06-2001,2001,6
P372,U372,09-06-2001,2001,6
P373,U373,09-06-2001,2001,6
P374,U374,09-06-2001,2001,6
P375,U375,11-06-2001,2001,6
P376,U376,11-06-2001,2001,6
P377,U377,14-06-2001,2001,6
P378,U378,16-06-2001,2001,6
P379,U379,17-06-2001,2001,6
P380,U380,18-06-2001,2001,6
P381,U381,19-06-2001,2001,6
P382,U382,19-06-2001,2001,6
P383,U383,20-06-2001,2001,6
P384,U384,21-06-2001,2001,6
P385,U385,22-06-2001,2001,6
P386,U386,22-06-2001,2001,6
P387,U387,24-06-2001,2001,6
P388,U388,25-06-2001,2001,6
P389,U389,25-06-2001,2001,6
P390,U390,27-06-2001,2001,6
P391,U391,27-06-2001,2001,6
P392,U392,29-06-2001,2001,6
P393,U393,30-06-2001,2001,6
P394,U394,30-06-2001,2001,6
P395,U395,01-07-2001,2001,7
P396,U396,02-07-2001,2001,7
P397,U397,02-07-2001,2001,7
P398,U398,02-07-2001,2001,7
P399,U399,05-07-2001,2001,7
P400,U400,07-07-2001,2001,7
P401,U401,08-07-2001,2001,7
P402,U402,08-07-2001,2001,7
P403,U403,10-07-2001,2001,7
P404,U404,10-07-2001,2001,7
P405,U405,11-07-2001,2001,7
P406,U406,15-07-2001,2001,7
P407,U407,15-07-2001,2001,7
P408,U408,16-07-2001,2001,7
P409,U409,17-07-2001,2001,7
P410,U410,17-07-2001,2001,7
P411,U411,19-07-2001,2001,7
P412,U412,19-07-2001,2001,7
P413,U413,20-07-2001,2001,7
P414,U414,21-07-2001,2001,7
P415,U415,21-07-2001,2001,7
P416,U416,21-07-2001,2001,7
P417,U417,21-07-2001,2001,7
P418,U418,23-07-2001,2001,7
P419,U419,23-07-2001,2001,7
P420,U420,25-07-2001,2001,7
P421,U421,25-07-2001,2001,7
P422,U422,27-07-2001,2001,7
P423,U423,27-07-2001,2001,7
P424,U424,28-07-2001,2001,7
P425,U425,29-07-2001,2001,7
P426,U426,31-07-2001,2001,7
P427,U427,31-07-2001,2001,7
P428,U428,01-08-2001,2001,8
P429,U429,02-08-2001,2001,8
P430,U430,03-08-2001,2001,8
P431,U431,04-08-2001,2001,8
P432,U432,05-08-2001,2001,8
P433,U433,06-08-2001,2001,8
P434,U434,06-08-2001,2001,8
P435,U435,06-08-2001,2001,8
P436,U436,07-08-2001,2001,8
P437,U437,07-08-2001,2001,8
P438,U438,08-08-2001,2001,8
P439,U439,10-08-2001,2001,8
P440,U440,10-08-2001,2001,8
P441,U441,11-08-2001,2001,8
P442,U442,12-08-2001,2001,8
P443,U443,13-08-2001,2001,8
P444,U444,14-08-2001,2001,8
P445,U445,14-08-2001,2001,8
P446,U446,15-08-2001,2001,8
P447,U447,16-08-2001,2001,8
P448,U448,17-08-2001,2001,8
P449,U449,17-08-2001,2001,8
P450,U450,20-08-2001,2001,8
P451,U451,20-08-2001,2001,8
P452,U452,21-08-2001,2001,8
P453,U453,23-08-2001,2001,8
P454,U454,23-08-2001,2001,8
P455,U455,25-08-2001,2001,8
P456,U456,26-08-2001,2001,8
P457,U457,27-08-2001,2001,8
P458,U458,27-08-2001,2001,8
P459,U459,28-08-2001,2001,8
P460,U460,28-08-2001,2001,8
P461,U461,29-08-2001,2001,8
P462,U462,29-08-2001,2001,8
P463,U463,29-08-2001,2001,8
P464,U464,30-08-2001,2001,8
P465,U465,30-08-2001,2001,8
P466,U466,30-08-2001,2001,8
P467,U467,31-08-2001,2001,8
P468,U468,01-09-2001,2001,9
P469,U469,04-09-2001,2001,9
P470,U470,07-09-2001,2001,9
P471,U471,08-09-2001,2001,9
P472,U472,08-09-2001,2001,9
P473,U473,10-09-2001,2001,9
P474,U474,12-09-2001,2001,9
P475,U475,12-09-2001,2001,9
P476,U476,13-09-2001,2001,9
P477,U477,14-09-2001,2001,9
P478,U478,15-09-2001,2001,9
P479,U479,15-09-2001,2001,9
P480,U480,18-09-2001,2001,9
P481,U481,19-09-2001,2001,9
P482,U482,20-09-2001,2001,9
P483,U483,20-09-2001,2001,9
P484,U484,20-09-2001,2001,9
P485,U485,20-09-2001,2001,9
P486,U486,22-09-2001,2001,9
P487,U487,24-09-2001,2001,9
P488,U488,25-09-2001,2001,9
P489,U489,25-09-2001,2001,9
P490,U490,28-09-2001,2001,9
P491,U491,29-09-2001,2001,9
P492,U492,30-09-2001,2001,9
P493,U493,02-10-2001,2001,10
P494,U494,05-10-2001,2001,10
P495,U495,09-10-2001,2001,10
P496,U496,09-10-2001,2001,10
P497,U497,09-10-2001,2001,10
P498,U498,14-10-2001,2001,10
P499,U499,16-10-2001,2001,10
P500,U500,17-10-2001,2001,10
P501,U501,19-10-2001,2001,10
P502,U502,22-10-2001,2001,10
P503,U503,23-10-2001,2001,10
P504,U504,23-10-2001,2001,10
P505,U505,23-10-2001,2001,10
P506,U506,24-10-2001,2001,10
P507,U507,25-10-2001,2001,10
P508,U508,26-10-2001,2001,10
P509,U509,27-10-2001,2001,10
P510,U510,27-10-2001,2001,10
P511,U511,29-10-2001,2001,10
P512,U512,29-10-2001,2001,10
P513,U513,05-11-2001,2001,11
P514,U514,06-11-2001,2001,11
P515,U515,06-11-2001,2001,11
P516,U516,07-11-2001,2001,11
P517,U517,09-11-2001,2001,11
P518,U518,10-11-2001,2001,11
P519,U519,12-11-2001,2001,11
P520,U520,12-11-2001,2001,11
P521,U521,13-11-2001,2001,11
P522,U522,13-11-2001,2001,11
P523,U523,13-11-2001,2001,11
P524,U524,17-11-2001,2001,11
P525,U525,17-11-2001,2001,11
P526,U526,18-11-2001,2001,11
P527,U527,19-11-2001,2001,11
P528,U528,21-11-2001,2001,11
P529,U529,22-11-2001,2001,11
P530,U530,22-11-2001,2001,11
P531,U531,23-11-2001,2001,11
P532,U532,24-11-2001,2001,11
P533,U533,24-11-2001,2001,11
P534,U534,24-11-2001,2001,11
P535,U535,25-11-2001,2001,11
P536,U536,25-11-2001,2001,11
P537,U537,25-11-2001,2001,11
P538,U538,25-11-2001,2001,11
P539,U539,26-11-2001,2001,11
P540,U540,26-11-2001,2001,11
P541,U541,26-11-2001,2001,11
P542,U542,27-11-2001,2001,11
P543,U543,27-11-2001,2001,11
P544,U544,27-11-2001,2001,11
P545,U545,28-11-2001,2001,11
P546,U546,28-11-2001,2001,11
P547,U547,28-11-2001,2001,11
P548,U548,29-11-2001,2001,11
P549,U549,30-11-2001,2001,11
P550,U550,01-12-2001,2001,12
P551,U551,01-12-2001,2001,12
P552,U552,02-12-2001,2001,12
P553,U553,03-12-2001,2001,12
P554,U554,03-12-2001,2001,12
P555,U555,03-12-2001,2001,12
P556,U556,03-12-2001,2001,12
P557,U557,04-12-2001,2001,12
P558,U558,04-12-2001,2001,12
P559,U559,05-12-2001,2001,12
P560,U560,06-12-2001,2001,12
P561,U561,06-12-2001,2001,12
P562,U562,06-12-2001,2001,12
P563,U563,07-12-2001,2001,12
P564,U564,07-12-2001,2001,12
P565,U565,07-12-2001,2001,12
P566,U566,08-12-2001,2001,12
P567,U567,09-12-2001,2001,12
P568,U568,09-12-2001,2001,12
P569,U569,09-12-2001,2001,12
P570,U570,10-12-2001,2001,12
P571,U571,10-12-2001,2001,12
P572,U572,10-12-2001,2001,12
P573,U573,11-12-2001,2001,12
P574,U574,11-12-2001,2001,12
P575,U575,12-12-2001,2001,12
P576,U576,12-12-2001,2001,12
P577,U577,13-12-2001,2001,12
P578,U578,13-12-2001,2001,12
P579,U579,13-12-2001,2001,12
P580,U580,13-12-2001,2001,12
P581,U581,13-12-2001,2001,12
P582,U582,13-12-2001,2001,12
P583,U583,14-12-2001,2001,12
P584,U584,14-12-2001,2001,12
P585,U585,14-12-2001,2001,12
P586,U586,14-12-2001,2001,12
P587,U587,15-12-2001,2001,12
P588,U588,16-12-2001,2001,12
P589,U589,16-12-2001,2001,12
P590,U590,16-12-2001,2001,12
P591,U591,17-12-2001,2001,12
P592,U592,18-12-2001,2001,12
P593,U593,18-12-2001,2001,12
P594,U594,18-12-2001,2001,12
P595,U595,20-12-2001,2001,12
P596,U596,20-12-2001,2001,12
P597,U597,21-12-2001,2001,12
P598,U598,21-12-2001,2001,12
P599,U599,22-12-2001,2001,12
P600,U600,22-12-2001,2001,12
P601,U601,22-12-2001,2001,12
P602,U602,22-12-2001,2001,12
P603,U603,24-12-2001,2001,12
P604,U604,24-12-2001,2001,12
P605,U605,25-12-2001,2001,12
P606,U606,25-12-2001,2001,12
P607,U607,25-12-2001,2001,12
P608,U608,26-12-2001,2001,12
P609,U609,26-12-2001,2001,12
P610,U610,26-12-2001,2001,12
P611,U611,26-12-2001,2001,12
P612,U612,27-12-2001,2001,12
P613,U613,27-12-2001,2001,12
P614,U614,27-12-2001,2001,12
P615,U615,27-12-2001,2001,12
P616,U616,28-12-2001,2001,12
P617,U617,28-12-2001,2001,12
P618,U618,28-12-2001,2001,12
P619,U619,28-12-2001,2001,12
P620,U620,28-12-2001,2001,12
P621,U621,28-12-2001,2001,12
P622,U622,28-12-2001,2001,12
P623,U623,28-12-2001,2001,12
P624,U624,29-12-2001,2001,12
P625,U625,29-12-2001,2001,12
P626,U626,29-12-2001,2001,12
P627,U627,29-12-2001,2001,12
P628,U628,29-12-2001,2001,12
P629,U629,29-12-2001,2001,12
P630,U630,30-12-2001,2001,12
P631,U631,30-12-2001,2001,12
P632,U632,30-12-2001,2001,12
P633,U633,31-12-2001,2001,12
P634,U634,31-12-2001,2001,12
P635,U635,31-12-2001,2001,12
P636,U636,31-12-2001,2001,12
P637,U637,31-12-2001,2001,12
P638,U638,01-01-2002,2002,1
P639,U639,01-01-2002,2002,1
P640,U640,01-01-2002,2002,1
P641,U641,02-01-2002,2002,1
P642,U642,02-01-2002,2002,1
P643,U643,03-01-2002,2002,1
P644,U644,03-01-2002,2002,1
P645,U645,03-01-2002,2002,1
P646,U646,04-01-2002,2002,1
P647,U647,04-01-2002,2002,1
P648,U648,05-01-2002,2002,1
P649,U649,05-01-2002,2002,1
P650,U650,06-01-2002,2002,1
P651,U651,06-01-2002,2002,1
P652,U652,06-01-2002,2002,1
P653,U653,07-01-2002,2002,1
P654,U654,08-01-2002,2002,1
P655,U655,08-01-2002,2002,1
P656,U656,08-01-2002,2002,1
P657,U657,09-01-2002,2002,1
P658,U658,09-01-2002,2002,1
P659,U659,09-01-2002,2002,1
P660,U660,09-01-2002,2002,1
P661,U661,09-01-2002,2002,1
P662,U662,11-01-2002,2002,1
P663,U663,11-01-2002,2002,1
P664,U664,12-01-2002,2002,1
P665,U665,13-01-2002,2002,1
P666,U666,13-01-2002,2002,1
P667,U667,16-01-2002,2002,1
P668,U668,16-01-2002,2002,1
P669,U669,16-01-2002,2002,1
P670,U670,17-01-2002,2002,1
P671,U671,18-01-2002,2002,1
P672,U672,18-01-2002,2002,1
P673,U673,19-01-2002,2002,1
P674,U674,20-01-2002,2002,1
P675,U675,20-01-2002,2002,1
P676,U676,20-01-2002,2002,1
P677,U677,22-01-2002,2002,1
P678,U678,22-01-2002,2002,1
P679,U679,23-01-2002,2002,1
P680,U680,23-01-2002,2002,1
P681,U681,23-01-2002,2002,1
P682,U682,24-01-2002,2002,1
P683,U683,24-01-2002,2002,1
P684,U684,26-01-2002,2002,1
P685,U685,26-01-2002,2002,1
P686,U686,27-01-2002,2002,1
P687,U687,27-01-2002,2002,1
P688,U688,28-01-2002,2002,1
P689,U689,29-01-2002,2002,1
P690,U690,29-01-2002,2002,1
P691,U691,31-01-2002,2002,1
P692,U692,31-01-2002,2002,1
P693,U693,31-01-2002,2002,1
P694,U694,02-02-2002,2002,2
P695,U695,03-02-2002,2002,2
P696,U696,03-02-2002,2002,2
P697,U697,04-02-2002,2002,2
P698,U698,04-02-2002,2002,2
P699,U699,04-02-2002,2002,2
P700,U700,04-02-2002,2002,2
P701,U701,04-02-2002,2002,2
P702,U702,04-02-2002,2002,2
P703,U703,05-02-2002,2002,2
P704,U704,06-02-2002,2002,2
P705,U705,07-02-2002,2002,2
P706,U706,07-02-2002,2002,2
P707,U707,08-02-2002,2002,2
P708,U708,08-02-2002,2002,2
P709,U709,09-02-2002,2002,2
P710,U710,09-02-2002,2002,2
P711,U711,10-02-2002,2002,2
P712,U712,10-02-2002,2002,2
P713,U713,11-02-2002,2002,2
P714,U714,11-02-2002,2002,2
P715,U715,11-02-2002,2002,2
P716,U716,12-02-2002,2002,2
P717,U717,13-02-2002,2002,2
P718,U718,13-02-2002,2002,2
P719,U719,13-02-2002,2002,2
P720,U720,14-02-2002,2002,2
P721,U721,15-02-2002,2002,2
P722,U722,16-02-2002,2002,2
P723,U723,17-02-2002,2002,2
P724,U724,17-02-2002,2002,2
P725,U725,18-02-2002,2002,2
P726,U726,18-02-2002,2002,2
P727,U727,18-02-2002,2002,2
P728,U728,19-02-2002,2002,2
P729,U729,20-02-2002,2002,2
P730,U730,20-02-2002,2002,2
P731,U731,21-02-2002,2002,2
P732,U732,24-02-2002,2002,2
P733,U733,25-02-2002,2002,2
P734,U734,26-02-2002,2002,2
P735,U735,27-02-2002,2002,2
P736,U736,28-02-2002,2002,2
P737,U737,03-03-2002,2002,3
P738,U738,04-03-2002,2002,3
P739,U739,07-03-2002,2002,3
P740,U740,07-03-2002,2002,3
P741,U741,11-03-2002,2002,3
P742,U742,11-03-2002,2002,3
P743,U743,12-03-2002,2002,3
P744,U744,13-03-2002,2002,3
P745,U745,13-03-2002,2002,3
P746,U746,14-03-2002,2002,3
P747,U747,14-03-2002,2002,3
P748,U748,18-03-2002,2002,3
P749,U749,18-03-2002,2002,3
P750,U750,19-03-2002,2002,3
P751,U751,20-03-2002,2002,3
P752,U752,20-03-2002,2002,3
P753,U753,22-03-2002,2002,3
P754,U754,23-03-2002,2002,3
P755,U755,23-03-2002,2002,3
P756,U756,24-03-2002,2002,3
P757,U757,24-03-2002,2002,3
P758,U758,25-03-2002,2002,3
P759,U759,25-03-2002,2002,3
P760,U760,26-03-2002,2002,3
P761,U761,28-03-2002,2002,3
P762,U762,29-03-2002,2002,3
P763,U763,31-03-2002,2002,3
P764,U764,03-04-2002,2002,4
P765,U765,03-04-2002,2002,4
P766,U766,04-04-2002,2002,4
P767,U767,04-04-2002,2002,4
P768,U768,05-04-2002,2002,4
P769,U769,06-04-2002,2002,4
P770,U770,06-04-2002,2002,4
P771,U771,08-04-2002,2002,4
P772,U772,08-04-2002,2002,4
P773,U773,11-04-2002,2002,4
P774,U774,11-04-2002,2002,4
